# x data
-5.000000000000000000e+00 7.483570765056163587e+00
-4.795918367346938993e+00 3.917174953952490934e+00
-4.591836734693877986e+00 7.488755060349361337e+00
-4.387755102040816091e+00 1.154059701215258116e+01
-4.183673469387755084e+00 2.463135666991400186e+00
-3.979591836734694077e+00 2.204992016586875714e+00
-3.775510204081632626e+00 1.104683458982350430e+01
-3.571428571428571175e+00 6.796357319233932159e+00
-3.367346938775510168e+00 4.535443552065383521e-01
-3.163265306122449161e+00 5.388768564452106169e+00
-2.959183673469387710e+00 2.672513943300249828e-01
-2.755102040816326259e+00 1.973820526401777187e-01
-2.551020408163265252e+00 3.710852590649829086e+00
-2.346938775510204245e+00 -7.057030127912063300e+00
-2.142857142857142794e+00 -6.073568754401898140e+00
-1.938775510204081343e+00 -1.854484750261877757e-01
-1.734693877551020336e+00 -2.329878217248961825e+00
-1.530612244897959329e+00 4.447121710873078726e+00
-1.326530612244897878e+00 -1.489308216006721253e+00
-1.122448979591836427e+00 -3.802459781145428597e+00
-9.183673469387754196e-01 1.082886858429956511e+01
-7.142857142857144126e-01 2.646628701648954252e+00
-5.102040816326525174e-01 4.421356142140162149e+00
-3.061224489795915105e-01 -2.698501447518761864e+00
-1.020408163265305035e-01 2.078169675999659738e+00
1.020408163265305035e-01 5.762859512481025348e+00
3.061224489795915105e-01 -1.052386076446261143e-01
5.102040816326534056e-01 8.003021536959513682e+00
7.142857142857144126e-01 3.629459611630465155e+00
9.183673469387754196e-01 5.715625378480512886e+00
1.122448979591837315e+00 4.740321582751393592e+00
1.326530612244898322e+00 1.761832553312361682e+01
1.530612244897959329e+00 8.930847903798877496e+00
1.734693877551020336e+00 4.384498249847736062e+00
1.938775510204081343e+00 1.449381577251094555e+01
2.142857142857143238e+00 5.018230729736726126e+00
2.346938775510204245e+00 1.294144417244152123e+01
2.551020408163265252e+00 2.906772246073842325e+00
2.755102040816327147e+00 6.905508739264617724e+00
2.959183673469388154e+00 1.540538073161550692e+01
3.163265306122449161e+00 1.902136247098913202e+01
3.367346938775510168e+00 1.712714544593319133e+01
3.571428571428571175e+00 1.666665654724247148e+01
3.775510204081632182e+00 1.674729285066663209e+01
3.979591836734694965e+00 1.190143419643442257e+01
4.183673469387755972e+00 1.676937537618556107e+01
4.387755102040816979e+00 1.917327428347678264e+01
4.591836734693877986e+00 2.790327043971598897e+01
4.795918367346938993e+00 2.551026137703847851e+01
5.000000000000000000e+00 1.618479922318633157e+01
